Contrato;Conv;Taxa Originação;Taxa Cessão
3001882103;MT;1.95;1.95
3001847429;MA;2;2
3001846389;MA;2;2
3001888092;MA;2;2
3001930258;MA;1.95;1.95
3001892169;MT;1.95;1.95
3001840168;MA;2;2
3001914690;MA;2;2
3001890890;MA;2;2
3001874662;MA;2;2
3001887888;MA;2;2
3001932544;MA;2;2
3001896889;MT;2;2
3001857063;MA;1.95;1.95
3001854797;MT;1.95;1.95
3001917768;MA;1.95;1.95
3001914476;MA;1.95;1.95
3001914542;MA;1.95;1.95
3001845662;MA;2;2
3001855091;MT;1.95;1.95
3001848419;MA;2;2
3001873136;MA;2;2
3001890528;MT;2;2
3001843279;MA;1.95;1.95
3001913932;MA;2;2
3001843550;MA;2;2
3001903263;MA;2;2
3001940679;MT;1.95;1.95
3001856172;MA;2;2
3001855760;MT;2;2
3001976319;MA;1.95;1.95
3001855034;MA;2;2
3001912249;MA;1.95;1.95
3001894959;MA;2;2
3001914641;MA;1.95;1.95
3001842354;MA;1.95;1.95
3001940109;MA;1.95;1.95
3001930456;MT;1.95;1.95
3001927528;MT;2;2
3001913262;MT;1.95;1.95
3001920937;MA;2;2
3002056053;MT;1.95;1.95
3001917123;MT;1.95;1.95
3001905144;MT;2;2
3001929946;MT;1.95;1.95
3001849730;MA;2;2
3001840572;MA;1.95;1.95
3002087629;MT;1.95;1.95
3001868078;MT;1.95;1.95
3001912181;MT;1.95;1.95
3001933906;MT;2;2
3000960496;MT;1.95;1.95
3001017239;MT;2.15;2.15
3001896780;MT;2;2
3001894439;MT;1.95;1.95
3002299117;MT;1.95;1.95
3002304495;MA;1.9;1.9
3002304123;MA;1.9;1.9
3002285264;MA;1.95;1.95
3002252926;MA;1.9;1.9
3002249609;MA;1.9;1.9
3002248593;MA;1.9;1.9
3002248551;MA;1.9;1.9
3002265910;MA;1.9;1.9
3002292096;MA;1.9;1.9
3002306623;MT;1.95;1.95
3002274805;MA;1.9;1.9
3002243412;MT;1.9;1.9
3002262461;MT;1.95;1.95
3002271124;MT;1.9;1.9
3002292724;MT;1.9;1.9
3002250631;MA;1.9;1.9
3002261323;MT;1.95;1.95
3002279572;MA;1.9;1.9
3002117558;MT;1.95;1.95
3002192825;MT;1.95;1.95
3002241051;MT;1.9;1.9
3002300204;MT;1.95;1.95
3002286346;MT;1.95;1.95
3002250078;MT;1.9;1.9
3002250813;MT;1.9;1.9
3002280547;MT;1.95;1.95
3002238586;MT;1.95;1.95
3002287104;MT;1.9;1.9
3002230187;MT;1.95;1.95
3002228835;MT;1.95;1.95
3002251142;MT;1.95;1.95
3002287096;MT;1.9;1.9
3002306326;MT;1.95;1.95
3002228108;MT;1.95;1.95
3002280760;MT;1.95;1.95
3002295115;MT;1.95;1.95
3002280117;MT;1.95;1.95
3002200313;MA;1.95;1.95
3002316119;MT;1.9;1.9
3002206278;MA;1.95;1.95
3002232001;MA;1.95;1.95
3002241432;MT;1.95;1.95
3002231839;MT;1.95;1.95
3002290280;MT;1.9;1.9
3002308611;MT;1.9;1.9
3002274128;MT;1.9;1.9
3002255044;MT;1.95;1.95
3002249807;MT;1.9;1.9
